,Jobs,Company,Location,Summary,Description,Posted on,Job Url,Salary
0,"Cashier & computer operator
new",Ram Babu Jatav (proprietor of Ulimate services),"Bellary, Karnataka","Prepare and reconcile customer balances.
Gather the information, check the authenticity, designs a format for representation.
Excel knowledge is mandatory.","We are looking back office executive & cashier for leading Bank.
The candidate has to assist and support administrative staff in their day to day operations.
Timing: 9:30am to 4:30pm
Experience/fresher will get hike in salary
No targets
Fixed day shift
Centralize pick and drop

Roles, Responsibilities and skills:
1. Assist and coordinate with sales and marketing teams.
2. Support sales staff in handling and documenting customer accounts.
3. Prepare and reconcile customer balances.
4. Gather the information, check the authenticity, designs a format for representation.
5. Excel knowledge is mandatory.

Skills:
6. 10th, 12th, and any Graduates.
7. FRESHERS ARE MOST WELCOME.
8. Communication skills.
9. Basic computer knowledge.
Contact Hr. Neha sharma 07838261012",3 days ago,www.indeed.co.in/rc/clk?jk=49b358dbc3ec4626&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,10,000 a year"
1,"Cashier & computer operator
new",Ram Babu Jatav (proprietor of Ulimate services),"Raichur, Karnataka","Prepare and reconcile customer balances.
Gather the information, check the authenticity, designs a format for representation.
Excel knowledge is mandatory.","We are looking back office executive & cashier for leading Bank.
The candidate has to assist and support administrative staff in their day to day operations.
Timing: 9:30am to 4:30pm
Experience/fresher will get hike in salary
No targets
Fixed day shift
Centralize pick and drop

Roles, Responsibilities and skills:
1. Assist and coordinate with sales and marketing teams.
2. Support sales staff in handling and documenting customer accounts.
3. Prepare and reconcile customer balances.
4. Gather the information, check the authenticity, designs a format for representation.
5. Excel knowledge is mandatory.

Skills:
6. 10th, 12th, and any Graduates.
7. FRESHERS ARE MOST WELCOME.
8. Communication skills.
9. Basic computer knowledge.
Contact Hr. Neha sharma 07838261012",3 days ago,www.indeed.co.in/rc/clk?jk=1ede6b932bd50ef6&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,19,999 a year"
2,"CASHIER
new",Ujjivan Small Finance Bank Ltd,"Gandhinagar, Gujarat","Ujjivan Small Finance Bank Limited is an Indian small finance bank based in Bangalore, which commenced operations on 1 February 2017.[3][4] Ujjivan Financial…","Job Description
Roles and Responsibilities
Knowledge of local language and area with good communication skills – local hire
Should have exposure of making entries in financial modules/ERP
Should have experience in consolidating accounting data
Responsible for executing all cash related transactions and operations for the Branch as per internal / external banking guidelines
Ensure appropriate entries in relevant registers/online; perform end of day reconciliation in the system
Functional Knowledge and Skills required -
Cash handling/accounting skills
Prudent handling of cash with ability to detect fake notes
Systematic; meticulous and timely customer service
Sensitive to Customer Wait Time
Mandatory operating knowledge of computers
Relevant software skills (On-Job training to be provided )
Strong numerical skills
Multitasking ability


Salary: INR 2,50,000 - 3,00,000 PA.
Industry:Banking / Financial Services / Broking
Functional Area:Accounts, Finance, Tax, Company Secretary, Audit
Keyskills
Communication Skills
Customer Service
Accounts Handling
Numerical
Finance
Cash Handling
Banking
Desired Candidate Profile
Please refer to the Job description above
Company Profile
Ujjivan Small Finance Bank limited
Ujjivan Small Finance Bank Limited is an Indian small finance bank based in Bangalore, which commenced operations on 1 February 2017.[3][4] Ujjivan Financial Services holds an 80 percent stake in the bank.[5]
Ujjivan Small Finance Bank is licensed under Section 22 (1) of the Banking Regulation Act, 1949 to carry out small finance bank business and received Scheduled Bank status from the Reserve Bank of India in August 2017",Today,www.indeed.co.in/rc/clk?jk=1605e928ebe7bd70&fccid=dd616958bd9ddc12&vjs=3,"₹2,50,000 - ₹3,00,000 a year"
3,"Cashier & computer operator
new",Ram Babu Jatav (proprietor of Ulimate services),"Haldwani, Uttarakhand","Prepare and reconcile customer balances.
Gather the information, check the authenticity, designs a format for representation.
Excel knowledge is mandatory.","We are looking back office executive & cashier for leading Bank.
The candidate has to assist and support administrative staff in their day to day operations.
Timing: 9:30am to 4:30pm
Experience/fresher will get hike in salary
No targets
Fixed day shift
Centralize pick and drop

Roles, Responsibilities and skills:
1. Assist and coordinate with sales and marketing teams.
2. Support sales staff in handling and documenting customer accounts.
3. Prepare and reconcile customer balances.
4. Gather the information, check the authenticity, designs a format for representation.
5. Excel knowledge is mandatory.

Skills:
6. 10th, 12th, and any Graduates.
7. FRESHERS ARE MOST WELCOME.
8. Communication skills.
9. Basic computer knowledge.
Contact Hr. Neha sharma 07838261012",3 days ago,www.indeed.co.in/rc/clk?jk=ca1ab1ddfb543dfb&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹7,50,000 a year"
4,"DATA ENTRY
new",LiveHealthyMedic.com,"Lucknow, Uttar Pradesh","Execute data entry tasks as assigned to you within the given time frame efficiently.
Keywords Data entry,PDF,Management,Excel.
Willing to learn on the go.","Functional Area Other
Industry Type Other
Keywords Data entry,PDF,Management,Excel
Execute data entry tasks as assigned to you within the given time frame efficiently

Create and Manage data on Excel sheet, Word and PDF

Arrange data in desired format Requirement


Good knowledge of Excel and Word is required Smart, energetic and enthusiastic

Willing to learn on the go

Deliver under strict deadlines
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",Today,www.indeed.co.in/rc/clk?jk=bb68bacf92e74035&fccid=1cb7d71fbd26f705&vjs=3,"₹2,00,000 - ₹5,00,000 a year"
5,"Excise Constable
new",Assam Police,"Guwahati, Assam","The selected candidates will be required to give an undertaking as per Finance (B) Department Memo No. BW.3/2003/Pt-II/1, dated 25-01-2005.","State Level Police Recruitment Board Assam Recruitment 2020 - Excise Constable Vacancies - 12TH Pass - 49,000 Salary - Apply NowAssam Police Recruitment 2020-21: Employees State Insurance Corporation (Assam Police) announced Job notification to hire candidates who completed 12TH for the position of Excise Constable. To Apply for the job posting from Assam Police, please click on the Apply Now button below.Company Name: Assam Police
Post Name: Excise Constable
No of Posts: 159
Salary: 14,000 - 49,000 (Per Month)
Experience: fresher
Education: 12TH
Location: Guwahati
Last Date: 25-07-2020

Selection Procedure:
1. Candidates whose applications are found correct in all respects will be called for a written test which will be conducted in all the District Headquarters or Range wise or at Guwahati depending upon the number of candidates. The candidates have to appear for the Written Test in the district of his/ her present residential address,'Range. The Chairman reserves the right to change the venue of the test and no representation etc, will be entertained in this regard. Before entering the examination center. biometrics of each candidate will be done.

2. The written test will be of 100 marks and will be completely OMR based. There will be 100 questions and each question will be of I (one) mark. There will be negative marking of h mark for each wrong answer. The questions will be set in three parts (i) Logical reasoning, aptitude, comprehension (ii) Matters relating to History ard Culture of Assam and India and (iii) General Knowledge. Candidates will use black or dark blue ball pen to answer the OMR based answer sheet. Duration of the test will be of 3 (three) hours. Candidates numbering only 5 number of posts in respect of each (Unreserved. OBC,'MOBC, ST. (P).

3. S.T.(H) & EWS) both male & female will be called for PST (Physical Standard Test) and PET (Physical Efficiency Test) on a merit basis. A list will be published in SLPRB Website.

4. Physical Standard Test: After the documents of the candidates are verified. the candidates will be asked to appear in the PST. The PST will carry no marks. Measurement of the height, weight, and chest (chest only for Males) of the candidates wil be taken after which the candidates wil be inspected by a medical officer for preliminary chækup like knocked knee, vision test. color blindness test. flat foot. varicose vein. physical deformities etc. Varicose vein shall be considered a temporary disqualification. Once a candidate clears the PST and preliminary medical test. he/she will have to appear in the Physical Efficiency Test (PET).

5. Physical Efficiency Test: The Physical Efficiency Test will carry 40 marks. It will have 2 (two) events viz. a) 1600 meters race for male candidates and 800 meters race for female candidates. b) Long Jump - for 335 cm (minimum) and for female 244crn (minimum). 3 chances (longest valid jump will be considered).

6. Written Test: Written-test will consist of 100 choice type questions to be answered on an OMR answer sheet. For each, the correct answer to the candidate will get half a mark. The total marks for the Written Test will be 50. There will no negative marking. The duration of the test will d 2 (two) hours. The questøns will the following subjects: Elementary Arithmetic General English Logical reasoning.' Metal ability Assam's History, Geography, Pouty. Economy General Awarerpss'General Knowledge and current affairs Written Test will be conducted throughout the State on same day Other at Guwahati or in each range or district headquarters &pending the number candidates and convenience of the SLPRB. The date and venue (s) of tie written test be notified due course.

How To Apply:
1. It is for general information that the receipt of applications for the following posts was opened on 16-06-2020. Requests have been received from many candidates for extending the last date for submission of applications as they could not submit the on-line applications due to lockdown. Hence, the last date for submission of applications is extended upto 25-07-2020. Those who have already applied need not to submit application afresh.

2. Applications must be submitted online through SLPRB website (www.slprbassam.in). No other forms of application will be entertained. All Candidates will have to appear for their PST/PET & Written Test only from the district under which their permanent Residential address falls in case held districtwise. However, the PST/PET & written test may be held range wise/ centrally at Guwahati or other place (s) depending on availability of number of candidates or as per convenience of SLPRB.

3. Incomplete/ defective/ invalid application will be summarily rejected.

Document Required:
i) Admit card / certificate of HSLC or equivalent examination for proof of Age.

ii) Marks sheet of HSLC or HSSLC as applicable

iii) Caste Certificate.

iv) Employment Exchange Registration Card/Certificate

v) EWS certificate from Competent Authority.

General Instructions:
i. No T.A/D.A will be admissible to candidates for the journey and stay during any stage of the recruitment.

ii. The select lists confer no right to appointment unless the department is satisfied about suitability of the candidate after a thorough medical examination and verification of all essential documents for eligibilities as may be considered necessary before appointment to the service/posts.

iii. Candidates have to appear in all the stages of recruitment. If a candidate is absent from any stage/ event his/her candidature will be cancelled.

iv. Candidature will be summarily rejected at any stage of the recruitment process for not conforming to the official format/having incomplete information/wrong information/ incomplete requisite certificate (s) / misrepresentation of facts/ impersonation.

v. The select list shall remain valid for 12 months from the date of publication.

vi. On appointment, the candidates shall be governed by the Service Rules of the Excise Department, Govt. of Assam as amended from time to time.

vii. Candidate will be required to join and work in any District of Assam.

viii. Selected Candidates will be governed by New Pension Rules of the Govt. The selected candidates will be required to give an undertaking as per Finance (B) Department Memo No. BW.3/2003/Pt-II/1, dated 25-01-2005.

ix. Selected candidates shall be required to undergo training and complete such training as may be prescribed by the Government from time to time.

x. The physical tests are strenuous and candidates who are in proper medical condition only should take the tests. SLPRB will not be liable for any injury or casualty suffered by a candidate during the tests due to any pre-existing medical condition.",2 days ago,www.indeed.co.in/rc/clk?jk=a983dca5b09c4065&fccid=07f9bf370a5c46d4&vjs=3,"₹14,000 - ₹49,000 a month"
6,"Typist- Marathi & English
new",Vijaya Management Services,"Pune, Maharashtra","Salary 1 Lac 50 Thousand To 2 Lac 50 Thousand P.A.
Industry Front Office / Executive Assistant / Data Entry.
Work Experience 0 - 6 Years.","Typing- Marathi & English.
Knowledge of Shree lipi.
Salary 1 Lac 50 Thousand To 2 Lac 50 Thousand P.A.

Industry Front Office / Executive Assistant / Data Entry

Work Experience 0 - 6 Years

Qualification Secondary School


Key Skills
English Typist English Typing

Company Profile",1 day ago,www.indeed.co.in/rc/clk?jk=d5d26987f87863bf&fccid=501ca0214084fbc4&vjs=3,"₹1,50,000 - ₹2,50,000 a year"
7,"Computer operator & Back office
new",Ram Babu Jatav (proprietor of Ulimate services),"Puducherry, Puducherry","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he…","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be operating with delicate information. He will also do filing, copying, and Print Document as required.
Responsibilities: -
â€¢Maintain database on regular basis.
â€¢Scan And Print documents.
â€¢Verify data and correct database.
â€¢Review and verify the entries.
â€¢Give the regular Detail of business.
â€¢Transfer data from PDF formats in system.
â€¢Maintain the records Confidential.
Required Skills and Qualifications: -
â€¢Knowledge of MS Office
â€¢Good typing speed.
â€¢Communication skills-oral and written.
â€¢Any Diploma/Degree 12th with good typing skills.
â€¢Knowledge of Internet Browsing.
â€¢Age - 18 To 28 Yr.
Benefits: -
â€¢No Target
â€¢Fixed Shift
â€¢Parking Free
â€¢Incentives
â€¢Fresherâ€™s Welcome
Contact Hr. . JUHI SHARMA 08447266367",4 days ago,www.indeed.co.in/rc/clk?jk=e9a407853f78fed7&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,19,999 a year"
8,"Typist
new",Vijaya Management Services,"Pune, Maharashtra","Work Experience 1 - 3 Years.
We have urgent opening for the Position of Typist / Back Office – Female.
Typing speed – 30 to 40.","Urgent Requirement!

Finance Company

Dear Candidate,

We have urgent opening for the Position of Typist / Back Office – Female

Typing speed – 30 to 40

Job location – J.M Road – Shivaji Nagar

Deepak,
Salary 1 Lac To 1 Lac 50 Thousand P.A.

Industry Banking / Investments / Stock Market / Financial Services

Work Experience 1 - 3 Years

Qualification Other Bachelor Degree


Key Skills
typist data entry operator Data Entry Executive Data Entry Operation Data Entry Clerk Computer Operator

Company Profile",1 day ago,www.indeed.co.in/rc/clk?jk=ba3792729fe2f46b&fccid=501ca0214084fbc4&vjs=3,"₹1,00,000 - ₹1,50,000 a year"
9,"Data Entry Operator
new",CBIC,"Guntur, Andhra Pradesh","Ii. The deputation will be for a period of three years, unless extended further.
It is requested that this may be circulated to the eligible officers of the…","APSRI Recruitment 2020 - Data Entry Operator Vacancies - 15,000 Salary - Apply NowCBIC Recruitment 2020-21: Employees State Insurance Corporation (CBIC) announced Job notification to hire candidates who completed Any Graduate for the position of Data Entry Operator. To Apply for the job posting from CBIC, please click on the Apply Now button below.Company Name: CBIC
Post Name: Data Entry Operator
No of Posts: 9
Salary: 15,000 (Per Month )
Experience: fresher
Education: Any Graduate
Location: Guntur
Last Date: 31-07-2020

Selection Procedure:
Selection will be based on Deputation Basis

How To Apply:
1. The last date for receiving of application 31-07-2020. Application received after the prescribed closing date or not accompanied with the required certificate/documents are liable to be rejected.

2. Applications of only such officers will be considered which are routed through proper channel and accompanied by (i) bio-data as in proforma given in Annexure-I (ii) Cadre Clearance certificate (Annexure-II) and (iii) Duly attested photocopies of ACRs APARs for thc last three years.

3. It is requested that this may be circulated to the eligible officers of the Central Government and the applications of willing and eligible officials whose services could be spared immediately may be sent to Special Secretary to Government, Finance Department, Room No.219, 1 St Floor, Building No.2, A.P.Secretariat, Velagapudi, Amaravati, Andhra Pradesh-522238 by post or advance copy of the application by email to commr-apsdri@gp.gov.in.

Terms and conditions:
i. The selected Officer will be liable to work at any place in Andhra Pradesh as per the adlninistrative convenience.

ii. The deputation will be for a period of three years, unless extended further.

iii. The appointment will not bestow on the appointee on deputation any claim for regular appointment.",2 days ago,www.indeed.co.in/rc/clk?jk=36d37a2b0a98d3c3&fccid=3807a4be16a8baa0&vjs=3,"₹15,000 a month"
